protein_name	COG	COG_ID	COG_System	COG_Process	locusId	ClassicID
2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase)	COG3622	G	Metabolism	Carbohydrate transport and metabolism	H16_RS07740	H16_A1558
Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	COG0259	H	Metabolism	Coenzyme transport and metabolism	H16_RS13970	H16_A2802
Phosphoglycerate kinase, plasmid (EC 2.7.2.3)	COG0126	G	Metabolism	Carbohydrate transport and metabolism	PHG417	PHG417
Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	COG0854	H	Metabolism	Coenzyme transport and metabolism	H16_RS12710	H16_A2552
Protein-L-isoaspartate O-methyltransferase 2 (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase 2) (Protein L-isoaspartyl methyltransferase 2) (Protein-beta-aspartate methyltransferase 2) (PIMT 2)	COG2518	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS11870	H16_A2375
Phosphoglycerate kinase, chromosomal (EC 2.7.2.3)	COG0126	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25625	H16_B1385
Acetoacetyl-CoA reductase (EC 1.1.1.36)	COG1028	I	Metabolism	Lipid transport and metabolism	H16_RS07145	H16_A1439
Poly(3-hydroxyalkanoate) polymerase subunit PhaC (PHA polymerase) (EC 2.3.1.-) (PHB synthase subunit PhaC) (Poly(3-hydroxybutyrate) polymerase subunit PhaC) (PHB polymerase) (Poly-beta-hydroxybutyrate polymerase) (Polyhydroxyalkanoate synthase subunit PhaC) (PHA synthase)	COG3243	I	Metabolism	Lipid transport and metabolism	H16_RS07135	H16_A1437
Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	COG0481	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS12740	H16_A2558
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]	COG0665	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS07355	H16_A1481
Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	COG0321	H	Metabolism	Coenzyme transport and metabolism	H16_RS00580	H16_A0122
Outer-membrane lipoprotein carrier protein	COG2834	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS03745	H16_A0755
Outer-membrane lipoprotein LolB	COG3017	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS01845	H16_A0375
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	COG1043	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS10195	H16_A2043
UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	COG0774	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16280	H16_A3266
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	COG2360	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS06965	H16_A1403
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	COG1663	F	Metabolism	Nucleotide transport and metabolism	H16_RS02995	H16_A0606
Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	COG0597	MU	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS15190	H16_A3047
Periplasmic nitrate reductase (EC 1.9.6.1)	COG0243	C	Metabolism	Energy production and conversion	PHG211	PHG211
Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	COG0105	F	Metabolism	Nucleotide transport and metabolism	H16_RS11835	H16_A2368
DNA mismatch repair protein MutS	COG0249	L	Information storage and processing	Replication, recombination and repair	H16_RS06010	H16_A1210
LPS-assembly protein LptD	COG1452	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS02525	H16_A0511
L-threonate dehydrogenase (EC 1.1.1.411)	COG2084	I	Metabolism	Lipid transport and metabolism	H16_RS07760	H16_A1562
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	COG0472	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16330	H16_A3276
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	COG0150	F	Metabolism	Nucleotide transport and metabolism	H16_RS15345	H16_A3077
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	COG0413	H	Metabolism	Coenzyme transport and metabolism	H16_RS15380	H16_A3084
Probable transcriptional regulatory protein H16_A0916	COG0217	K	Information storage and processing	Transcription	H16_RS04550	H16_A0916
Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	COG0832	E	Metabolism	Amino acid transport and metabolism	H16_RS05385	H16_A1083
Urease accessory protein UreG	COG0378	KO	Information storage and processing	Transcription	H16_RS05405	H16_A1087
Probable chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)	COG3161	H	Metabolism	Coenzyme transport and metabolism	H16_RS15795	H16_A3165
UPF0434 protein H16_A0605	COG2835	S	Poorly characterized	Function unknown	H16_RS02990	H16_A0605
Putative tyrosine-protein phosphatase H16_A0669 (EC 3.1.3.48)	COG2365	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS03310	H16_A0669
Uncharacterized protein PHG004 (ORF4)	NA	S	Poorly characterized	Function unknown	PHG004	PHG004
Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	COG1968	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS14305	H16_A2871
1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	COG0743	I	Metabolism	Lipid transport and metabolism	H16_RS10225	H16_A2049
Probable GTP-binding protein EngB	COG0218	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS17220	H16_A3452
4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	COG0289	E	Metabolism	Amino acid transport and metabolism	H16_RS15675	H16_A3141
Flagellar transcriptional regulator FlhC	NA	K	Information storage and processing	Transcription	H16_RS23335	H16_B0919
Flagellar transcriptional regulator FlhC	NA	K	Information storage and processing	Transcription	H16_RS23340	H16_B0919
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	COG2171	E	Metabolism	Amino acid transport and metabolism	H16_RS10310	H16_A2066
Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	COG0253	E	Metabolism	Amino acid transport and metabolism	H16_RS01105	H16_A0227
Flagellar transcriptional regulator FlhD	NA	N	Cellular processes and signaling	Cell motility	H16_RS19905	H16_B0235
Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	COG1513	P	Metabolism	Inorganic ion transport and metabolism	H16_RS18950	H16_B0046
D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	COG1181	F	Metabolism	Nucleotide transport and metabolism	H16_RS16305	H16_A3271
Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of 2-oxoglutarate dehydrogenase complex)	COG1249	C	Metabolism	Energy production and conversion	H16_RS11610	H16_A2323
Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	COG0190	F	Metabolism	Nucleotide transport and metabolism	H16_RS06800	H16_A1370
Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	COG0082	E	Metabolism	Amino acid transport and metabolism	H16_RS06540	H16_A1317
3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	COG0337	E	Metabolism	Amino acid transport and metabolism	H16_RS17130	H16_A3434
3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	COG0128	E	Metabolism	Amino acid transport and metabolism	H16_RS03940	H16_A0795
Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	COG0169	E	Metabolism	Amino acid transport and metabolism	H16_RS15775	H16_A3161
D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS06625	H16_A1334
Beta-ketothiolase BktB (EC 2.3.1.16) (EC 2.3.1.9) (Acetyl-CoA acetyltransferase) (Acetyl-CoA acyltransferase)	COG0183	I	Metabolism	Lipid transport and metabolism	H16_RS07175	H16_A1445
Biotin synthase (EC 2.8.1.6)	COG0502	H	Metabolism	Coenzyme transport and metabolism	H16_RS00885	H16_A0183
Aspartate/glutamate leucyltransferase (EC 2.3.2.29)	COG2935	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS06960	H16_A1402
10 kDa chaperonin (GroES protein) (Protein Cpn10)	COG0234	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS03490	H16_A0705
Protein CbbY, chromosomal	COG0637	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25660	H16_B1392
Protein CbbY, plasmid	COG0637	G	Metabolism	Carbohydrate transport and metabolism	PHG424	PHG424
Putative fluoride ion transporter CrcB	COG0239	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS11300	H16_A2261
dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	COG0717	F	Metabolism	Nucleotide transport and metabolism	H16_RS14610	H16_A2931
Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	COG0407	H	Metabolism	Coenzyme transport and metabolism	H16_RS18140	H16_A3633
C4-dicarboxylate transport protein	COG1301	P	Metabolism	Inorganic ion transport and metabolism	H16_RS01470	H16_A0299
Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	COG0624	E	Metabolism	Amino acid transport and metabolism	H16_RS10325	H16_A2069
Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	COG0266	L	Information storage and processing	Replication, recombination and repair	H16_RS01855	H16_A0377
Sulfur carrier protein FdhD	COG1526	A	Metabolism	Autotrophic energy generation	H16_RS03180	H16_A0643
Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	COG0443	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS15405	H16_A3089
1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	COG1154	H	Metabolism	Coenzyme transport and metabolism	H16_RS13620	H16_A2732
GTP cyclohydrolase FolE2 (EC 3.5.4.16)	COG1469	S	Poorly characterized	Coenzyme transport and metabolism	H16_RS13615	H16_A2731
Probable Fe(2+)-trafficking protein	COG2924	C	Metabolism	Energy production and conversion	H16_RS11715	H16_A2344
8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	COG0156	H	Metabolism	Coenzyme transport and metabolism	H16_RS00875	H16_A0181
Protein CbxX, chromosomal	COG0464	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25665	H16_B1393
Protein CbxX, plasmid	COG0464	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	PHG425	PHG425
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	COG0721	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS00530	H16_A0112
Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	COG0326	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS13210	H16_A2654
Protein FdhE homolog	COG3058	A	Metabolism	Autotrophic energy generation	H16_RS25980	H16_B1455
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	COG0451	F	Metabolism	Nucleotide transport and metabolism	H16_RS03985	H16_A0804
Ferredoxin--NADP reductase 1 (FNR 1) (Fd-NADP(+) reductase 1) (EC 1.18.1.2)	COG0492	C	Metabolism	Energy production and conversion	H16_RS05950	H16_A1199
Ferredoxin--NADP reductase 2 (FNR 2) (Fd-NADP(+) reductase 2) (EC 1.18.1.2)	COG0492	C	Metabolism	Energy production and conversion	H16_RS12905	H16_A2592
Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	COG0503	F	Metabolism	Nucleotide transport and metabolism	H16_RS01940	H16_A0395
Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	COG0165	E	Metabolism	Amino acid transport and metabolism	H16_RS14580	H16_A2925
Acetaldehyde dehydrogenase 1 (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating] 1)	COG4569	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS21480	H16_B0551
50S ribosomal protein L10	COG0244	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17455	H16_A3499
30S ribosomal protein S4	COG0522	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17255	H16_A3459
30S ribosomal protein S5	COG0098	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17295	H16_A3467
50S ribosomal protein L4	COG0088	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17375	H16_A3483
Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	COG0027	F	Metabolism	Nucleotide transport and metabolism	H16_RS09435	H16_A1892
Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	COG0167	F	Metabolism	Nucleotide transport and metabolism	H16_RS06955	H16_A1401
Bifunctional ribose 1,5-bisphosphokinase-thymidine phosphorylase [Includes: Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase); Putative thymidine phosphorylase (EC 2.4.2.4) (TdRPase)]	COG0213	F	Metabolism	Nucleotide transport and metabolism	H16_RS21515	H16_B0558
50S ribosomal protein L3	COG0087	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17380	H16_A3484
Ribulose bisphosphate carboxylase large chain, chromosomal (RuBisCO large subunit) (EC 4.1.1.39)	COG1850	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25675	H16_B1395
DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	COG1758	K	Information storage and processing	Transcription	H16_RS04740	H16_A0954
50S ribosomal protein L15	COG0200	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17285	H16_A3465
Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	COG0293	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS12230	H16_A2448
Ribulose-phosphate 3-epimerase, chromosomal (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	COG0036	G	Metabolism	Carbohydrate transport and metabolism	H16_RS25655	H16_B1391
Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)	COG0684	H	Metabolism	Coenzyme transport and metabolism	H16_RS11145	H16_A2230
Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	COG1576	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS04525	H16_A0911
DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	COG0202	K	Information storage and processing	Transcription	H16_RS17250	H16_A3458
50S ribosomal protein L9	COG0359	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11375	H16_A2276
Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	COG0820	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11830	H16_A2367
DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	COG0086	K	Information storage and processing	Transcription	H16_RS17440	H16_A3496
50S ribosomal protein L24	COG0198	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17325	H16_A3473
30S ribosomal protein S3	COG0092	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17350	H16_A3478
Peptide chain release factor 3 (RF-3)	COG4108	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS31525	H16_B2571
50S ribosomal protein L11	COG0080	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17465	H16_A3501
50S ribosomal protein L13	COG0102	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS02380	H16_A0482
50S ribosomal protein L18	COG0256	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17300	H16_A3468
50S ribosomal protein L19	COG0335	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS04455	H16_A0897
50S ribosomal protein L22	COG0091	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17355	H16_A3479
50S ribosomal protein L20	COG0292	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS06665	H16_A1342
Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	COG0344	I	Metabolism	Lipid transport and metabolism	H16_RS02905	H16_A0588
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	COG1185	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS05195	H16_A1045
Recombination-associated protein RdgC	COG2974	L	Information storage and processing	Replication, recombination and repair	H16_RS15905	H16_A3189
2-aminoethylphosphonate--pyruvate transaminase (EC 2.6.1.37) (2-aminoethylphosphonate aminotransferase) (AEP transaminase) (AEPT)	COG0075	E	Metabolism	Amino acid transport and metabolism	H16_RS28500	H16_B1953
Phosphonates import ATP-binding protein PhnC 1 (EC 7.3.2.2)	COG3638	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20210	H16_B0293
Phosphonates import ATP-binding protein PhnC 2 (EC 7.3.2.2)	COG3638	P	Metabolism	Inorganic ion transport and metabolism	H16_RS25225	H16_B1296
